"","yr","ene","feb","mar","abr","may","jun","jul","aug","sep","oct","nov","dec"
"1",1950,26.4,12.3333333333333,35.5333333333333,38.9666666666667,122.9,187.833333333333,137.2,143.066666666667,200.8,112.933333333333,15.5,15.8
"2",1951,9.2,10.7,10.4333333333333,16.4333333333333,147.733333333333,177.066666666667,225.933333333333,124.9,295.9,87.2,54.5,14.5
"3",1952,9.26666666666667,7.8,22.9,44.0666666666667,157.333333333333,231.2,135.566666666667,194.3,266.233333333333,138,11.6,18.2
"4",1953,9.73333333333333,8.23333333333333,6.36666666666667,31.9,125.8,334.266666666667,175.866666666667,118.333333333333,234.9,172.833333333333,53.1,31.2666666666667
"5",1954,11.0666666666667,11.2,13.7,68.8333333333333,186.733333333333,410.833333333333,242.166666666667,196.4,381.066666666667,241.066666666667,10.6333333333333,16.3666666666667
"6",1955,10.4,19.3666666666667,7.46666666666667,34.8666666666667,77.4666666666667,154.7,474.2,335.1,266.166666666667,234.366666666667,27.2,42.4666666666667
"7",1956,20.6666666666667,21.9666666666667,19.8333333333333,70.5,241.766666666667,277.366666666667,119,106.333333333333,259.666666666667,113.533333333333,35.7,15.8333333333333
"8",1957,19.3,25.9,36.4,37.3,79.1666666666667,279,181.833333333333,106.766666666667,347.1,35.7,26.7,17.7333333333333
"9",1958,14.4333333333333,14.9,15.2333333333333,49.2666666666667,102.133333333333,355.333333333333,329.5,281.7,432.533333333333,177.533333333333,71.4666666666667,23.2333333333333
"10",1959,16.7,10.5666666666667,11.9333333333333,50.5,97.8333333333333,225.133333333333,160.033333333333,110.7,190.233333333333,290.5,48.8666666666667,15.6666666666667
"11",1960,12.2666666666667,5.96666666666667,7.36666666666667,67,127.266666666667,380.866666666667,239.233333333333,243.4,253.833333333333,243.466666666667,22.6,14.3333333333333
"12",1961,36.0333333333333,10.3666666666667,31.8,42.4333333333333,127.633333333333,265.533333333333,181.8,117.4,172.3,150.633333333333,63.3333333333333,17.4
